gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4535995319;CR;;Limón;1;10.469183;-83.548497;31189;2024-02-09T11:42;2024;2;9;cccrll
4535930211;BR;;Mato Grosso;1;-17.255913;-56.653402;30748;2022-07-13T11:25;2022;7;13;Brandon Sideleau
4535928587;GT;;Petén;1;17.22647;-89.614736;30748;2024-02-28T13:40:19;2024;2;28;Cornelio Chablé
4535915192;CR;;Limón;1;10.454353;-83.563344;31189;2024-02-08T16:38;2024;2;8;cccrll
4535890072;GT;;Petén;1;17.395114;-89.755975;30748;2024-02-08T16:33:24;2024;2;8;Cornelio Chablé
4535884200;MX;;Quintana Roo;1;20.511856;-87.396833;30472;2024-02-22T14:19:25;2024;2;22;Yanin Ayala
4535874158;GT;;Petén;1;17.406011;-89.900343;30732;2024-02-04T16:20:29;2024;2;4;luisjurez
4535692500;BR;;Mato Grosso do Sul;1;-17.269578;-56.735762;30748;2021-06-07T11:02;2021;6;7;Brandon Sideleau
4535676383;VE;;Cojedes;1;9.536888;-68.41539;31236;2024-02-21T07:44:16;2024;2;21;J.C. Fernández-Ordóñez
4535654618;GT;;Petén;1;17.18668;-89.909225;30764;2024-02-28T10:28:49;2024;2;28;Cornelio Chablé
4535636468;BR;;Mato Grosso;1;-17.209759;-56.703048;30748;2021-06-09T05:33;2021;6;9;Brandon Sideleau
4535636065;CR;;Limón;1;10.467856;-83.579157;31189;2024-01-30T15:18:56;2024;1;30;thephoxinus
4535633078;CR;;Limón;1;10.449497;-83.566878;31189;2024-02-01T13:24:14;2024;2;1;thephoxinus
4535620102;SR;;Sipaliwini;1;4.745927;-55.464839;31398;2024-01-14T09:53:02;2024;1;14;Alan Wight
4535618161;BR;;Mato Grosso do Sul;1;-17.636722;-55.839454;30716;2023-07-02T08:28;2023;7;2;Thomaz Ricardo Favreto Sinani
4535580170;BR;;Mato Grosso do Sul;1;-17.623381;-55.938015;30716;2023-07-02T08:29;2023;7;2;Thomaz Ricardo Favreto Sinani
4528326426;CO;;Vichada;1;6.185885;-67.605452;31362;2023-07-12T14:33;2023;7;12;canapro_ambiental
4528023532;CO;;Putumayo;1;0.976986;-76.615983;31449;2024-01-28T18:28;2024;1;28;Savimbo
4528016583;CO;;Putumayo;1;0.809054;-76.754643;31449;2024-02-01T20:54;2024;2;1;Savimbo
4527931187;EC;;Sucumbios;1;0.297639;-77.267077;31451;2023-12-24T08:18;2023;12;24;Savimbo
4527498327;EC;Chiro Apaika;;1;-0.8358;-75.9203;;8/16/2022;2022;8;16;Ministerio del Ambiente, Agua y Transición Ecológica
4527498319;EC;Chiro Apaika;;1;-0.7348;-75.9193;;1/14/2023;2023;1;14;Ministerio del Ambiente, Agua y Transición Ecológica
4527498209;EC;Chiro Apaika;;1;-0.7388;-75.9217;;2/1/2023;2023;2;1;Ministerio del Ambiente, Agua y Transición Ecológica
4527498205;EC;Maxus;;1;-0.6814;-76.4023;;4/8/2020;2020;4;8;Ministerio del Ambiente, Agua y Transición Ecológica
4527498085;EC;Chiro Apaika;;1;-0.6821;-75.9463;;2/20/2023;2023;2;20;Ministerio del Ambiente, Agua y Transición Ecológica
4527498010;EC;CHIRO APAIKA;;1;-0.6672;-75.911;;2/21/2023;2023;2;21;Ministerio del Ambiente, Agua y Transición Ecológica
4527497980;EC;Chiro Apaika;;1;-0.6672;-75.9508;;2/6/2023;2023;2;6;Ministerio del Ambiente, Agua y Transición Ecológica
4527497823;EC;Chiro Apaika;;1;-0.7837;-75.9054;;12/16/2021;2021;12;16;Ministerio del Ambiente, Agua y Transición Ecológica
